item_index,Evaluation Type,Reference_rank,ModelA_rank,ModelB_rank
0,Fluency,2,3,1
0,Conciseness,1,2,3
0,Consistency,1,2,3
0,Comprehensive,1,2,2
1,Fluency,2,3,1
1,Conciseness,2,1,3
1,Consistency,1,3,2
1,Comprehensive,1,3,2
2,Fluency,2,3,1
2,Conciseness,2,3,1
2,Consistency,1,2,2
2,Comprehensive,1,3,2
3,Fluency,2,3,1
3,Conciseness,2,1,3
3,Consistency,1,3,2
3,Comprehensive,1,3,2
4,Fluency,2,3,1
4,Conciseness,2,3,1
4,Consistency,1,2,3
4,Comprehensive,1,3,2
5,Fluency,2,3,1
5,Conciseness,2,3,1
5,Consistency,1,3,2
5,Comprehensive,1,3,2
6,Fluency,2,3,1
6,Conciseness,2,3,1
6,Consistency,1,2,2
6,Comprehensive,1,3,2
7,Fluency,2,3,1
7,Conciseness,2,3,1
7,Consistency,1,3,2
7,Comprehensive,1,2,2
8,Fluency,2,3,1
8,Conciseness,1,2,3
8,Consistency,1,3,2
8,Comprehensive,1,2,2
9,Fluency,2,3,1
9,Conciseness,1,2,3
9,Consistency,1,2,3
9,Comprehensive,1,2,2
10,Fluency,1,3,2
10,Conciseness,2,3,1
10,Consistency,1,2,3
10,Comprehensive,1,2,3
11,Fluency,2,3,1
11,Conciseness,2,3,1
11,Consistency,1,3,2
11,Comprehensive,1,3,2
12,Fluency,2,3,1
12,Conciseness,2,3,1
12,Consistency,1,2,2
12,Comprehensive,1,2,2
13,Fluency,2,3,1
13,Conciseness,2,3,1
13,Consistency,1,2,2
13,Comprehensive,1,3,2
14,Fluency,1,2,3
14,Conciseness,1,2,3
14,Consistency,1,3,2
14,Comprehensive,1,2,2
15,Fluency,1,3,2
15,Conciseness,1,2,3
15,Consistency,1,3,2
15,Comprehensive,1,3,2
16,Fluency,2,3,1
16,Conciseness,1,3,2
16,Consistency,1,3,2
16,Comprehensive,1,3,2
17,Fluency,2,3,1
17,Conciseness,2,3,1
17,Consistency,1,3,2
17,Comprehensive,1,3,2
18,Fluency,2,3,1
18,Conciseness,2,3,1
18,Consistency,1,3,2
18,Comprehensive,1,3,2
19,Fluency,2,3,1
19,Conciseness,2,3,1
19,Consistency,1,2,3
19,Comprehensive,1,3,2
