Index,Metric,Summary A,Summary B,ref_Rank,model_A_Rank,model_B_Rank
0,rouge-1 (f),0.3518518470593279,0.44999999540138896,1,3,2
0,rouge-2 (f),0.062015499203173244,0.11111110666666683,1,3,2
0,rouge-l (f),0.3148148100222909,0.38333332873472226,1,3,2
1,rouge-1 (f),0.5106382928746039,0.3392857094451531,1,2,3
1,rouge-2 (f),0.22608695153119107,0.06944443972318705,1,2,3
1,rouge-l (f),0.5106382928746039,0.2857142808737246,1,2,3
2,rouge-1 (f),0.45238094761054426,0.4470588187792388,1,2,3
2,rouge-2 (f),0.13043477780009471,0.17204300596138294,1,3,2
2,rouge-l (f),0.4285714238010204,0.4235294070145329,1,2,3
3,rouge-1 (f),0.3783783733785245,0.36363635870790506,1,2,3
3,rouge-2 (f),0.09174311427657632,0.07171314255710261,1,2,3
3,rouge-l (f),0.3567567517569029,0.3444976027270439,1,2,3
4,rouge-1 (f),0.4252873513383539,0.3999999950524688,1,2,3
4,rouge-2 (f),0.2025316405739822,0.12014133785114081,1,2,3
4,rouge-l (f),0.3678160869705378,0.39024389749149313,1,3,2
5,rouge-1 (f),0.42857142363315703,0.38399999505407995,1,2,3
5,rouge-2 (f),0.18181817687319687,0.1506849265828487,1,2,3
5,rouge-l (f),0.3968253918871253,0.35199999505408,1,2,3
6,rouge-1 (f),0.3709090866380165,0.43195265779909664,1,3,2
6,rouge-2 (f),0.16851440859582803,0.13235293644470442,1,2,3
6,rouge-l (f),0.3709090866380165,0.4082840187458423,1,3,2
7,rouge-1 (f),0.4117647010053826,0.5054945005096004,1,3,2
7,rouge-2 (f),0.17187499523925795,0.12962962465706465,1,2,3
7,rouge-l (f),0.3921568578681277,0.46153845655355635,1,3,2
8,rouge-1 (f),0.4203821606393769,0.3712574801247804,1,2,3
8,rouge-2 (f),0.12871286630477424,0.09132419600091768,1,2,3
8,rouge-l (f),0.3566878931234533,0.3113772406038224,1,2,3
9,rouge-1 (f),0.3488372044348297,0.23655913503988912,1,2,3
9,rouge-2 (f),0.11650484971250843,0.0720720675691911,1,2,3
9,rouge-l (f),0.30232557652785297,0.23655913503988912,1,2,3
10,rouge-1 (f),0.47674418104718763,0.4999999950154322,1,3,2
10,rouge-2 (f),0.23853210509216405,0.19469026049651514,1,2,3
10,rouge-l (f),0.47674418104718763,0.4777777727932099,1,3,2
11,rouge-1 (f),0.42290748432455516,0.44029850248524177,1,3,2
11,rouge-2 (f),0.137535812143086,0.17961164555907733,1,3,2
11,rouge-l (f),0.39647576626288117,0.42537312935091337,1,3,2
12,rouge-1 (f),0.36601306692126967,0.4295301963533175,1,3,2
12,rouge-2 (f),0.06763284524446349,0.09900989599009928,1,3,2
12,rouge-l (f),0.28758169437225,0.37583892118553225,1,3,2
13,rouge-1 (f),0.4492753573198908,0.3947368371606648,1,2,3
13,rouge-2 (f),0.1435897385909272,0.11881187619007962,1,2,3
13,rouge-l (f),0.42028985007351405,0.3684210476869806,1,2,3
14,rouge-1 (f),0.3101604228316509,0.3980099453389768,1,3,2
14,rouge-2 (f),0.07662834749049519,0.11188810692943442,1,3,2
14,rouge-l (f),0.2887700485001002,0.378109447826539,1,3,2
15,rouge-1 (f),0.46009389186448896,0.49372384438297656,1,3,2
15,rouge-2 (f),0.14915253755955202,0.15527949814899134,1,3,2
15,rouge-l (f),0.4225352064184796,0.46025104103569614,1,3,2
16,rouge-1 (f),0.30927834574981405,0.36559139301653376,1,3,2
16,rouge-2 (f),0.016949147865557165,0.1016949105774205,1,3,2
16,rouge-l (f),0.28865978904878314,0.36559139301653376,1,3,2
17,rouge-1 (f),0.4383561594173391,0.41830064867187833,1,2,3
17,rouge-2 (f),0.061224484804248636,0.06763284528367093,1,3,2
17,rouge-l (f),0.38356163886939393,0.3921568578222052,1,3,2
18,rouge-1 (f),0.4915254188724505,0.4406779612453318,1,2,3
18,rouge-2 (f),0.22058823042495687,0.2028985458758665,1,2,3
18,rouge-l (f),0.4576271137877047,0.4406779612453318,1,2,3
19,rouge-1 (f),0.350877188057864,0.28037382679710027,1,2,3
19,rouge-2 (f),0.12499999509887715,0.06666666170138927,1,2,3
19,rouge-l (f),0.3333333284087412,0.2616822380120535,1,2,3
